Model,URL,Launch,Display,Camera,Memory,Battery
Samsung Galaxy M17,https://www.gsmarena.com/samsung_galaxy_m17_5g-14221.php,"LAUNCH Announced 2025, October 10
Status Available. Released Exp. release 2025, October 13","DISPLAY Type Super AMOLED, 90Hz, 1100 nits (HBM)
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.2, (macro)
Features LED flash, panorama, HDR
Video 1080p@30fps, gyro-EIS","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy F07,https://www.gsmarena.com/samsung_galaxy_f07-14205.php,"LAUNCH Announced 2025, October 04
Status Available. Released 2025, October 04","DISPLAY Type PLS LCD, 90Hz
Size 6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)
Resolution 720 x 1600 pixels, 20:9 ratio (~262 ppi density)","MAIN CAMERA Dual 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)
Features LED flash
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy M07,https://www.gsmarena.com/samsung_galaxy_m07-14100.php,"LAUNCH Announced 2025, October 01
Status Available. Released 2025, October 01","DISPLAY Type PLS LCD, 90Hz
Size 6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)
Resolution 720 x 1600 pixels, 20:9 ratio (~262 ppi density)","MAIN CAMERA Dual 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)
Features LED flash
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy A17 4G,https://www.gsmarena.com/samsung_galaxy_a17-14157.php,"LAUNCH Announced 2025, September 18
Status Available. Released 2025, September 18","DISPLAY Type Super AMOLED, 90Hz
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus+, Mohs level 5","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 1080p@30fps","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 4GB RAM, 256GB 8GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy Tab A11+,https://www.gsmarena.com/samsung_galaxy_tab_a11+-14192.php,"LAUNCH Announced 2025, September 29
Status Coming soon. Exp. release 2025, December","DISPLAY Type TFT LCD, 90Hz
Size 11.0 inches, 350.9 cm2 (~80.9% screen-to-body ratio)
Resolution 1200 x 1920 pixels, 16:10 ratio (~206 ppi density)","MAIN CAMERA Single 8 MP, AF
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB, 256GB","BATTERY Type Li-Po 7040 mAh
Charging 25W wired"
Samsung Galaxy Tab A11,https://www.gsmarena.com/samsung_galaxy_tab_a11-14141.php,"LAUNCH Announced 2025, September 12
Status Available. Released 2025, September","DISPLAY Type TFT LCD, 90Hz
Size 8.7 inches, 214.9 cm2 (~81.7% screen-to-body ratio)
Resolution 800 x 1340 pixels, 5:3 ratio (~179 ppi density)","MAIN CAMERA Single 8 MP, AF
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM, 128GB 8GB RAM","BATTERY Type 5100 mAh
Charging 15W wired"
Samsung Galaxy F17,https://www.gsmarena.com/samsung_galaxy_f17_5g-14107.php,"LAUNCH Announced 2025, September 11
Status Available. Released 2025, September 14","DISPLAY Type Super AMOLED, 90Hz, 1100 nits (HBM)
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 1080p@30fps, gyro-EIS","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 4GB RAM, 128GB 6GB RAM","BATTERY Type Li-Ion 5000 mAh
Charging 25W wired"
Samsung Galaxy S25 FE,https://www.gsmarena.com/samsung_galaxy_s25_fe_5g-14042.php,"LAUNCH Announced 2025, September 04
Status Available. Released 2025, September 04","DISPLAY Type Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 1900 nits (peak)
Size 6.7 inches, 110.2 cm2 (~89.2% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus+, Mohs level 5","MAIN CAMERA Triple 50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS
8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm
Features LED flash, HDR, panorama
Video 8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps; gyro-EIS, HDR","MEMORY Card slot No
Internal 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","BATTERY Type 4900 mAh
Charging 45W wired, PD, QC2, 65% in 30 min
15W wireless, Qi2 compatible
Reverse wireless"
Samsung Galaxy Tab S11 Ultra,https://www.gsmarena.com/samsung_galaxy_tab_s11_ultra_5g-14057.php,"LAUNCH Announced 2025, September 04
Status Available. Released 2025, September 04","DISPLAY Type Dynamic AMOLED 2X, 120Hz, HDR10+, 1000 nits (typ), 1600 nits (peak)
Size 14.6 inches, 617.8 cm2 (~90.8% screen-to-body ratio)
Resolution 1848 x 2960 pixels, 16:10 ratio (~239 ppi density)
Protection Mohs level 5","MAIN CAMERA Dual 13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF
8 MP, f/2.2, (ultrawide)
Features LED flash, HDR, panorama
Video 4K@30fps, 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM
  UFS","BATTERY Type Li-Po 11600 mAh
Charging 45W wired"
Samsung Galaxy Tab S11,https://www.gsmarena.com/samsung_galaxy_tab_s11_5g-14058.php,"LAUNCH Announced 2025, September 04
Status Available. Released 2025, September 04","DISPLAY Type Dynamic AMOLED 2X, 120Hz, HDR10+, 1000 nits (typ), 1600 nits (peak)
Size 11.0 inches, 350.9 cm2 (~83.6% screen-to-body ratio)
Resolution 1600 x 2560 pixels, 16:10 ratio (~274 ppi density)
Protection Mohs level 5","MAIN CAMERA Single 13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF
Features LED flash, HDR, panorama
Video 4K@30fps, 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM
  UFS","BATTERY Type Li-Po 8400 mAh
Charging 45W wired"
